学号,姓名,学科1,学科2,成绩3
10150101,戚武,90,100,0
10150102,原承悦,87,98,0
10150103,益河灵,71,82,0
10150104,展采珊,75,70,0
10150105,针晓筠,70,85,0
10150106,庆明洁,71,98,0
10150107,禄明明,94,74,0
10150108,穰诗翠,98,77,0
10150109,礼平婉,80,84,0
10150110,库从筠,97,91,0
10150111,畅昊苍,79,87,0
10150112,员从阳,99,71,0
10150113,都元忠,75,90,0
10150114,皇雪枫,97,79,0
10150115,卞高翰,92,77,0
10150116,杨睿德,67,90,0
10150117,丛以筠,90,88,0
10150118,喜媚,74,85,0
10150119,戢雁菡,83,80,0
10150120,于星,87,75,0
10150121,梅怀梦,73,90,0
10150122,兆春岚,71,90,0
10150123,泷语,74,90,0
10150124,曹驰文,71,97,0
10150125,奇可嘉,83,74,0
10150126,廉奕奕,84,93,0
10150127,波问春,92,84,0
10150128,练博赡,100,100,100
10150129,全藏,81,79,0
10150130,贝映冬,74,97,0
10150131,贺思彤,88,76,0
10150132,咸鲲,94,70,0
10150133,用彭祖,95,75,0
10150134,督雅旋,98,88,0
10150135,姜鸿德,95,79,0
10150136,阳昊硕,74,82,0
10150137,邓静枫,67,96,0
10150138,仇米,98,95,0
10150139,屈临,94,80,0
10150140,温怿,75,81,0
10150141,稽欣德,98,74,0
10150142,淡宏毅,84,69,0
10150143,中寄柔,77,76,0
10150144,宫翰音,67,92,0
10150145,骑湘云,84,84,0
10150146,答优悦,85,76,0
10150147,钭锐,99,77,0
10150148,绍苇,88,93,0
10150149,隐冷松,91,85,0
10150150,崔富,86,75,0
